chapter,path,pages,heading-only-leaf,heading-only-container,no-chinese-prose,mixed-review,chinese-review
1. 什麼是 PostgreSQL？,preface/01_intro-whatis.md,1,0,0,0,0,1
2. PostgreSQL 沿革,preface/02_history.md,1,0,0,0,0,1
3. 慣例,preface/03_notation.md,1,0,0,0,0,1
4. 其他參考資訊,preface/04_resources.md,1,0,0,0,0,1
5. 問題回報指南,preface/05_bug-reporting.md,1,0,0,0,0,1
1. 入門指南,tutorial/getting-started/README.md,5,0,0,0,0,5
2. SQL 查詢語言,tutorial/the-sql-language/README.md,10,0,0,0,0,10
3. 先進功能,tutorial/advanced-features/README.md,8,0,1,0,0,7
4. SQL 語法,the-sql-language/sql-syntax/README.md,4,0,0,0,2,2
5. 定義資料結構,the-sql-language/ddl/README.md,15,0,0,0,2,13
6. 資料處理,the-sql-language/data-manipulation/README.md,5,0,0,0,0,5
7. 資料查詢,the-sql-language/queries/README.md,9,0,0,0,1,8
8. 資料型別,the-sql-language/data-types/README.md,22,0,0,9,8,5
9. 函式及運算子,the-sql-language/functions-and-operators/README.md,31,0,0,19,8,4
10. 型別轉換,the-sql-language/type-conversion/README.md,7,0,0,6,0,1
11. 索引（Index）,the-sql-language/index/README.md,13,0,0,0,1,12
12. 全文檢索,the-sql-language/12.-quan-wen-jian-suo/README.md,12,0,1,11,0,0
13. 一致性管理（Concurrency Control）,the-sql-language/concurrency-control/README.md,8,0,0,2,2,4
14. 效能技巧,the-sql-language/performance-tips/README.md,6,0,0,2,0,4
15. 平行查詢,the-sql-language/parallel-query/README.md,5,0,0,2,1,2
16. 以預編譯套件安裝,server-administration/installation-from-binaries.md,1,0,0,0,0,1
17. 以原始碼安裝,server-administration/installation-from-source-code/README.md,8,0,0,4,2,2
18. 以原始碼在 Windows 上安裝,server-administration/installation-from-source-code-on-windows/README.md,2,0,0,1,1,0
19. 服務配置與維運,server-administration/server-setup-and-operation/README.md,13,0,0,9,1,3
20. 服務組態設定,server-administration/server-configuration/README.md,19,0,0,8,7,4
21. 使用者認證,server-administration/client-authentication/README.md,16,0,0,12,2,2
