line,level,part,chapter,title,path,exists,has_children,body_chars,han_chars,latin_words,english_blocks,status,source_versions
3,0,簡介,簡介,簡介,README.md,True,False,447,185,16,0,chinese-review,current
4,0,前言,前言,前言,preface/README.md,True,True,670,339,24,0,chinese-review,
5,1,前言,1. 什麼是 PostgreSQL？,1. 什麼是 PostgreSQL？,preface/01_intro-whatis.md,True,False,657,221,35,0,chinese-review,
6,1,前言,2. PostgreSQL 沿革,2. PostgreSQL 沿革,preface/02_history.md,True,False,2614,1147,110,0,chinese-review,current
7,1,前言,3. 慣例,3. 慣例,preface/03_notation.md,True,False,401,248,6,0,chinese-review,
8,1,前言,4. 其他參考資訊,4. 其他參考資訊,preface/04_resources.md,True,False,648,281,11,0,chinese-review,
9,1,前言,5. 問題回報指南,5. 問題回報指南,preface/05_bug-reporting.md,True,False,4989,3132,88,0,chinese-review,
10,0,I. 新手教學,I. 新手教學,I. 新手教學,tutorial/README.md,True,True,371,210,14,0,chinese-review,
11,1,I. 新手教學,1. 入門指南,1. 入門指南,tutorial/getting-started/README.md,True,True,251,58,15,0,chinese-review,
12,2,I. 新手教學,1. 入門指南,1.1. 安裝,tutorial/getting-started/installation.md,True,False,612,417,15,0,chinese-review,
13,2,I. 新手教學,1. 入門指南,1.2. 基礎架構,tutorial/getting-started/architectural-fundamentals.md,True,False,680,506,13,0,chinese-review,
14,2,I. 新手教學,1. 入門指南,1.3. 建立一個資料庫,tutorial/getting-started/creating-a-database.md,True,False,2096,992,27,0,chinese-review,
15,2,I. 新手教學,1. 入門指南,1.4. 存取一個資料庫,tutorial/getting-started/accessing-a-database.md,True,False,1409,544,33,0,chinese-review,
16,1,I. 新手教學,2. SQL 查詢語言,2. SQL 查詢語言,tutorial/the-sql-language/README.md,True,True,67,61,0,0,chinese-review,
17,2,I. 新手教學,2. SQL 查詢語言,2.1. 簡介,tutorial/the-sql-language/introduction.md,True,False,682,296,33,0,chinese-review,
18,2,I. 新手教學,2. SQL 查詢語言,2.2. 概念,tutorial/the-sql-language/concepts.md,True,False,378,287,9,0,chinese-review,
19,2,I. 新手教學,2. SQL 查詢語言,2.3. 創建一個新的資料表,tutorial/the-sql-language/creating-a-new-table.md,True,False,1119,468,24,0,chinese-review,
20,2,I. 新手教學,2. SQL 查詢語言,2.4. 資料列是資料表的組成單位,tutorial/the-sql-language/populating-a-table-with-rows.md,True,False,1064,422,20,0,chinese-review,
21,2,I. 新手教學,2. SQL 查詢語言,2.5. 資料表的查詢,tutorial/the-sql-language/querying-a-table.md,True,False,2155,432,22,0,chinese-review,
22,2,I. 新手教學,2. SQL 查詢語言,2.6. 交叉查詢,tutorial/the-sql-language/joins-between-tables.md,True,False,3338,1058,37,0,chinese-review,
23,2,I. 新手教學,2. SQL 查詢語言,2.7. 彙總查詢,tutorial/the-sql-language/aggregate-functions.md,True,False,1854,689,37,0,chinese-review,
24,2,I. 新手教學,2. SQL 查詢語言,2.8. 更新資料,tutorial/the-sql-language/updates.md,True,False,514,65,1,0,chinese-review,
25,2,I. 新手教學,2. SQL 查詢語言,2.9. 刪除資料,tutorial/the-sql-language/deletions.md,True,False,549,142,4,0,chinese-review,
26,1,I. 新手教學,3. 先進功能,3. 先進功能,tutorial/advanced-features/README.md,True,True,0,0,0,0,heading-only-container,
27,2,I. 新手教學,3. 先進功能,3.1. 簡介,tutorial/advanced-features/introduction.md,True,False,305,161,15,0,chinese-review,
28,2,I. 新手教學,3. 先進功能,3.2. 檢視表（View）,tutorial/advanced-features/views.md,True,False,429,223,2,0,chinese-review,
29,2,I. 新手教學,3. 先進功能,3.3. 外部索引鍵,tutorial/advanced-features/foreign-keys.md,True,False,949,265,16,0,chinese-review,
30,2,I. 新手教學,3. 先進功能,3.4. 交易安全,tutorial/advanced-features/transactions.md,True,False,2834,1530,37,0,chinese-review,
31,2,I. 新手教學,3. 先進功能,3.5. 窗函數,tutorial/advanced-features/window-functions.md,True,False,4380,1234,111,0,chinese-review,
32,2,I. 新手教學,3. 先進功能,3.6. 繼承,tutorial/advanced-features/inheritance.md,True,False,1634,399,28,0,chinese-review,
33,2,I. 新手教學,3. 先進功能,3.7. 結論,tutorial/advanced-features/conclusion.md,True,False,152,85,3,0,chinese-review,
34,0,II. SQL 查詢語言,II. SQL 查詢語言,II. SQL 查詢語言,the-sql-language/README.md,True,True,596,304,8,0,chinese-review,
35,1,II. SQL 查詢語言,4. SQL 語法,4. SQL 語法,the-sql-language/sql-syntax/README.md,True,True,134,94,5,0,chinese-review,
36,2,II. SQL 查詢語言,4. SQL 語法,4.1. 語法結構,the-sql-language/sql-syntax/lexical-structure.md,True,False,13958,5702,234,1,mixed-review,10
37,2,II. SQL 查詢語言,4. SQL 語法,4.2. 參數表示式,the-sql-language/sql-syntax/value-expressions.md,True,False,21556,6681,790,6,mixed-review,
38,2,II. SQL 查詢語言,4. SQL 語法,4.3. 函數呼叫,the-sql-language/sql-syntax/4.3.-han-shu-hu-jiao.md,True,False,2521,742,31,0,chinese-review,
39,1,II. SQL 查詢語言,5. 定義資料結構,5. 定義資料結構,the-sql-language/ddl/README.md,True,True,156,137,1,0,chinese-review,
40,2,II. SQL 查詢語言,5. 定義資料結構,5.1. 認識資料表,the-sql-language/ddl/table-basics.md,True,False,2629,1094,27,0,chinese-review,
41,2,II. SQL 查詢語言,5. 定義資料結構,5.2. 預設值,the-sql-language/ddl/default-values.md,True,False,1150,294,6,0,chinese-review,
42,2,II. SQL 查詢語言,5. 定義資料結構,5.3. Generated Columns,the-sql-language/ddl/generated-columns.md,True,False,2277,498,222,1,mixed-review,
43,2,II. SQL 查詢語言,5. 定義資料結構,5.4. 限制條件,the-sql-language/ddl/constraints.md,True,False,8429,3267,85,0,chinese-review,
44,2,II. SQL 查詢語言,5. 定義資料結構,5.5. 系統欄位,the-sql-language/ddl/system-columns.md,True,False,1930,1023,31,0,chinese-review,
45,2,II. SQL 查詢語言,5. 定義資料結構,5.6. 表格變更,the-sql-language/ddl/modifying-tables.md,True,False,2853,1212,21,0,chinese-review,
46,2,II. SQL 查詢語言,5. 定義資料結構,5.7. 權限,the-sql-language/ddl/privileges.md,True,False,1654,597,33,0,chinese-review,
47,2,II. SQL 查詢語言,5. 定義資料結構,5.8. 資料列安全原則,the-sql-language/ddl/row-security-policies.md,True,False,10960,2174,92,0,chinese-review,
48,2,II. SQL 查詢語言,5. 定義資料結構,5.9. Schemas,the-sql-language/ddl/schemas.md,True,False,4953,2620,108,0,chinese-review,
49,2,II. SQL 查詢語言,5. 定義資料結構,5.10. 繼承,the-sql-language/ddl/inheritance.md,True,False,6175,2324,101,0,chinese-review,
50,2,II. SQL 查詢語言,5. 定義資料結構,5.11. 分割資料表,the-sql-language/ddl/table-partitioning.md,True,False,36200,1880,3786,54,mixed-review,"12,13"
51,2,II. SQL 查詢語言,5. 定義資料結構,5.12. 外部資料,the-sql-language/ddl/foreign-data.md,True,False,1393,433,28,0,chinese-review,
52,2,II. SQL 查詢語言,5. 定義資料結構,5.13. 其他資料庫物件,the-sql-language/ddl/other-database-objects.md,True,False,189,134,2,0,chinese-review,
53,2,II. SQL 查詢語言,5. 定義資料結構,5.14. 相依性追蹤,the-sql-language/ddl/dependency-tracking.md,True,False,1890,753,43,0,chinese-review,
54,1,II. SQL 查詢語言,6. 資料處理,6. 資料處理,the-sql-language/data-manipulation/README.md,True,True,88,82,0,0,chinese-review,
55,2,II. SQL 查詢語言,6. 資料處理,6.1. 新增資料,the-sql-language/data-manipulation/6.1.-xin-zeng-zi-liao.md,True,False,2130,528,5,0,chinese-review,
56,2,II. SQL 查詢語言,6. 資料處理,6.2. 更新資料,the-sql-language/data-manipulation/6.2.-geng-xin-zi-liao.md,True,False,1247,650,12,0,chinese-review,
57,2,II. SQL 查詢語言,6. 資料處理,6.3. 刪除資料,the-sql-language/data-manipulation/6.3.-shan-chu-zi-liao.md,True,False,534,277,2,0,chinese-review,
58,2,II. SQL 查詢語言,6. 資料處理,6.4. 修改並回傳資料,the-sql-language/data-manipulation/returning-data-from-modified-rows.md,True,False,1095,364,35,0,chinese-review,
59,1,II. SQL 查詢語言,7. 資料查詢,7. 資料查詢,the-sql-language/queries/README.md,True,True,55,52,0,0,chinese-review,
60,2,II. SQL 查詢語言,7. 資料查詢,7.1. 概觀,the-sql-language/queries/overview.md,True,False,908,394,11,0,chinese-review,
61,2,II. SQL 查詢語言,7. 資料查詢,7.2. 資料表表示式,the-sql-language/queries/table-expressions.md,True,False,18939,5632,32,0,chinese-review,13
62,2,II. SQL 查詢語言,7. 資料查詢,7.3. 取得資料列表,the-sql-language/queries/select-lists.md,True,False,2225,1047,29,0,chinese-review,
63,2,II. SQL 查詢語言,7. 資料查詢,7.4. 合併查詢結果,the-sql-language/queries/combining-queries.md,True,False,808,273,10,0,chinese-review,
64,2,II. SQL 查詢語言,7. 資料查詢,7.5. 資料排序,the-sql-language/queries/sorting-rows.md,True,False,1289,574,33,0,chinese-review,
65,2,II. SQL 查詢語言,7. 資料查詢,7.6. LIMIT 和 OFFSET,the-sql-language/queries/limit-and-offset.md,True,False,796,412,32,0,chinese-review,
66,2,II. SQL 查詢語言,7. 資料查詢,7.7. VALUES 列舉資料,the-sql-language/queries/values-lists.md,True,False,1225,341,15,0,chinese-review,
67,2,II. SQL 查詢語言,7. 資料查詢,7.8. WITH Querys（Common Table Expressions）,the-sql-language/queries/with-queries.md,True,False,14893,200,1654,29,mixed-review,12
68,1,II. SQL 查詢語言,8. 資料型別,8. 資料型別,the-sql-language/data-types/README.md,True,True,6218,239,211,1,mixed-review,
69,2,II. SQL 查詢語言,8. 資料型別,8.1. 數字型別,the-sql-language/data-types/numeric-types.md,True,False,7370,2338,217,1,mixed-review,
70,2,II. SQL 查詢語言,8. 資料型別,8.2. 貨幣型別,the-sql-language/data-types/monetary-types.md,True,False,1109,325,28,0,chinese-review,
71,2,II. SQL 查詢語言,8. 資料型別,8.3. 字串型別,the-sql-language/data-types/character-types.md,True,False,3261,1071,99,0,chinese-review,
72,2,II. SQL 查詢語言,8. 資料型別,8.4. 位元組型別（bytea）,the-sql-language/data-types/binary.md,True,False,3772,1280,133,2,mixed-review,
73,2,II. SQL 查詢語言,8. 資料型別,8.5. 日期時間型別,the-sql-language/data-types/date-time.md,True,False,28896,1435,2371,38,mixed-review,"10,current"
74,2,II. SQL 查詢語言,8. 資料型別,8.6. 布林型別,the-sql-language/data-types/boolean-type.md,True,False,1011,106,59,0,chinese-review,
75,2,II. SQL 查詢語言,8. 資料型別,8.7. 列舉型別,the-sql-language/data-types/enumerated-types.md,True,False,3544,0,283,6,no-chinese-prose,12
76,2,II. SQL 查詢語言,8. 資料型別,8.8. 地理資訊型別,the-sql-language/data-types/geometric-types.md,True,False,5010,0,485,10,no-chinese-prose,10
77,2,II. SQL 查詢語言,8. 資料型別,8.9. 網路資訊型別,the-sql-language/data-types/network-address-types.md,True,False,7945,0,721,12,no-chinese-prose,12
78,2,II. SQL 查詢語言,8. 資料型別,8.10. 位元字串型別,the-sql-language/data-types/bit-string-types.md,True,False,1831,0,191,5,no-chinese-prose,12
79,2,II. SQL 查詢語言,8. 資料型別,8.11. 全文檢索型別,the-sql-language/data-types/text-search-types.md,True,False,6040,0,514,12,no-chinese-prose,12
80,2,II. SQL 查詢語言,8. 資料型別,8.12. UUID 型別,the-sql-language/data-types/uuid-type.md,True,False,823,285,30,0,chinese-review,
81,2,II. SQL 查詢語言,8. 資料型別,8.13. XML 型別,the-sql-language/data-types/xml-type.md,True,False,6423,0,901,13,no-chinese-prose,12
82,2,II. SQL 查詢語言,8. 資料型別,8.14. JSON 型別,the-sql-language/data-types/json-types.md,True,False,28216,3426,1377,14,mixed-review,"12,current"
83,2,II. SQL 查詢語言,8. 資料型別,8.15. 陣列,the-sql-language/data-types/arrays.md,True,False,21001,0,2205,43,no-chinese-prose,12
84,2,II. SQL 查詢語言,8. 資料型別,8.16. 複合型別,the-sql-language/data-types/composite-types.md,True,False,16555,0,1966,37,no-chinese-prose,12
85,2,II. SQL 查詢語言,8. 資料型別,8.17. 範圍型別,the-sql-language/data-types/range-types.md,True,False,14910,390,1568,22,mixed-review,13
86,2,II. SQL 查詢語言,8. 資料型別,8.18. Domain Types,the-sql-language/data-types/domain-types.md,True,False,715,304,25,0,chinese-review,
87,2,II. SQL 查詢語言,8. 資料型別,8.19. 物件指標型別,the-sql-language/data-types/object-identifier-types.md,True,False,5480,0,564,12,no-chinese-prose,12
88,2,II. SQL 查詢語言,8. 資料型別,8.20. pg_lsn 型別,the-sql-language/data-types/pg_lsn-type.md,True,False,518,47,67,1,mixed-review,
89,2,II. SQL 查詢語言,8. 資料型別,8.21. 概念型別,the-sql-language/data-types/pseudo-types.md,True,False,6813,109,363,4,mixed-review,12
90,1,II. SQL 查詢語言,9. 函式及運算子,9. 函式及運算子,the-sql-language/functions-and-operators/README.md,True,True,681,203,61,2,mixed-review,
91,2,II. SQL 查詢語言,9. 函式及運算子,9.1. 邏輯運算子,the-sql-language/functions-and-operators/logical-operators.md,True,False,800,89,52,1,mixed-review,
92,2,II. SQL 查詢語言,9. 函式及運算子,9.2. 比較函式及運算子,the-sql-language/functions-and-operators/comparison-functions-and-operators.md,True,False,13871,0,1358,17,no-chinese-prose,15
93,2,II. SQL 查詢語言,9. 函式及運算子,9.3. 數學函式及運算子,the-sql-language/functions-and-operators/mathematical-functions-and-operators.md,True,False,20030,225,523,5,mixed-review,12
94,2,II. SQL 查詢語言,9. 函式及運算子,9.4. 字串函式及運算子,the-sql-language/functions-and-operators/string-functions-and-operators.md,True,False,53594,517,1530,8,mixed-review,12
95,2,II. SQL 查詢語言,9. 函式及運算子,9.5. 位元字串函式及運算子,the-sql-language/functions-and-operators/binary-string-functions-and-operators.md,True,False,11244,0,325,6,no-chinese-prose,12
96,2,II. SQL 查詢語言,9. 函式及運算子,9.6. 二元字串函式及運算子,the-sql-language/functions-and-operators/bit-string-functions-and-operators.md,True,False,2058,0,183,4,no-chinese-prose,12
97,2,II. SQL 查詢語言,9. 函式及運算子,9.7. 特徵比對,the-sql-language/functions-and-operators/pattern-matching.md,True,False,51703,277,5124,81,mixed-review,11
98,2,II. SQL 查詢語言,9. 函式及運算子,9.8. 型別轉換函式,the-sql-language/functions-and-operators/data-type-formatting-functions.md,True,False,27375,353,1880,14,mixed-review,12
99,2,II. SQL 查詢語言,9. 函式及運算子,9.9 日期時間函式及運算子,the-sql-language/functions-and-operators/date-time-functions-and-operators.md,True,False,42217,0,2320,32,no-chinese-prose,12
100,2,II. SQL 查詢語言,9. 函式及運算子,9.10. 列舉型別函式,the-sql-language/functions-and-operators/enum-support-functions.md,True,False,4370,0,198,3,no-chinese-prose,10
101,2,II. SQL 查詢語言,9. 函式及運算子,9.11. 地理資訊函式及運算子,the-sql-language/functions-and-operators/geometric-functions-and-operators.md,True,False,13902,0,411,6,no-chinese-prose,10
102,2,II. SQL 查詢語言,9. 函式及運算子,9.12. 網路位址函式及運算子,the-sql-language/functions-and-operators/network-address-functions-and-operators.md,True,False,9227,0,417,9,no-chinese-prose,10
103,2,II. SQL 查詢語言,9. 函式及運算子,9.13. 文字檢索函式及運算子,the-sql-language/functions-and-operators/text-search-functions-and-operators.md,True,False,20212,0,360,7,no-chinese-prose,10
104,2,II. SQL 查詢語言,9. 函式及運算子,9.14. UUID Functions,the-sql-language/functions-and-operators/uuid-functions.md,True,False,341,84,25,0,chinese-review,
105,2,II. SQL 查詢語言,9. 函式及運算子,9.15. XML 函式,the-sql-language/functions-and-operators/xml.md,True,False,21934,1714,1288,26,mixed-review,10
106,2,II. SQL 查詢語言,9. 函式及運算子,9.16. JSON 函式及運算子,the-sql-language/functions-and-operators/json-functions-and-operators.md,True,False,142300,0,6797,43,no-chinese-prose,current
107,2,II. SQL 查詢語言,9. 函式及運算子,9.17. 序列函式,the-sql-language/functions-and-operators/sequence-manipulation-functions.md,True,False,7316,0,810,13,no-chinese-prose,10
108,2,II. SQL 查詢語言,9. 函式及運算子,9.18. 條件表示式,the-sql-language/functions-and-operators/conditional-expressions.md,True,False,2480,825,77,0,chinese-review,
109,2,II. SQL 查詢語言,9. 函式及運算子,9.19. 陣列函式及運算子,the-sql-language/functions-and-operators/array-functions-and-operators.md,True,False,14731,0,631,9,no-chinese-prose,10
110,2,II. SQL 查詢語言,9. 函式及運算子,9.20. 範圍函式及運算子,the-sql-language/functions-and-operators/range-functions-and-operators.md,True,False,8864,0,652,4,no-chinese-prose,13
111,2,II. SQL 查詢語言,9. 函式及運算子,9.21. 彙總函數,the-sql-language/functions-and-operators/aggregate-functions.md,True,False,36587,0,2774,18,no-chinese-prose,13
112,2,II. SQL 查詢語言,9. 函式及運算子,9.22. Window 函式,the-sql-language/functions-and-operators/window-functions.md,True,False,12616,0,868,8,no-chinese-prose,13
113,2,II. SQL 查詢語言,9. 函式及運算子,9.23. 子查詢,the-sql-language/functions-and-operators/subquery-expressions.md,True,False,9512,0,1345,20,no-chinese-prose,13
114,2,II. SQL 查詢語言,9. 函式及運算子,9.24. 資料列與陣列的比較運算,the-sql-language/functions-and-operators/row-and-array-comparisons.md,True,False,3497,1734,101,0,chinese-review,
115,2,II. SQL 查詢語言,9. 函式及運算子,9.25. 集合回傳函數,the-sql-language/functions-and-operators/set-returning-functions.md,True,False,8956,83,475,5,mixed-review,
116,2,II. SQL 查詢語言,9. 函式及運算子,9.26. 系統資訊函數,the-sql-language/functions-and-operators/system-information-functions.md,True,False,70627,0,4918,70,no-chinese-prose,12
117,2,II. SQL 查詢語言,9. 函式及運算子,9.27. 系統管理函式,the-sql-language/functions-and-operators/system-administration.md,True,False,143265,0,7866,33,no-chinese-prose,13
118,2,II. SQL 查詢語言,9. 函式及運算子,9.28. 觸發函式,the-sql-language/functions-and-operators/trigger-functions.md,True,False,2965,679,98,0,chinese-review,
119,2,II. SQL 查詢語言,9. 函式及運算子,9.29. 事件觸發函式,the-sql-language/functions-and-operators/event-trigger-functions.md,True,False,9479,0,446,6,no-chinese-prose,13
120,2,II. SQL 查詢語言,9. 函式及運算子,9.30. Statistics Information Functions,the-sql-language/functions-and-operators/statistics-information-functions.md,True,False,1088,0,75,1,no-chinese-prose,
121,1,II. SQL 查詢語言,10. 型別轉換,10. 型別轉換,the-sql-language/type-conversion/README.md,True,True,788,0,96,3,no-chinese-prose,10
122,2,II. SQL 查詢語言,10. 型別轉換,10.1. 概觀,the-sql-language/type-conversion/10.1.-gai-guan.md,True,False,4589,0,607,10,no-chinese-prose,10
123,2,II. SQL 查詢語言,10. 型別轉換,10.2. 運算子,the-sql-language/type-conversion/10.2.-yun-suan-zi.md,True,False,10009,0,1261,14,no-chinese-prose,10
124,2,II. SQL 查詢語言,10. 型別轉換,10.3. 函式,the-sql-language/type-conversion/10.3.-han-shi.md,True,False,7833,0,1067,7,no-chinese-prose,10
125,2,II. SQL 查詢語言,10. 型別轉換,10.4. 資料儲存轉換規則,the-sql-language/type-conversion/value-storage.md,True,False,2378,0,305,2,no-chinese-prose,11
126,2,II. SQL 查詢語言,10. 型別轉換,10.5. UNION、CASE 等相關結構,the-sql-language/type-conversion/union-case-and-related-constructs.md,True,False,1595,668,41,0,chinese-review,
127,2,II. SQL 查詢語言,10. 型別轉換,10.6. SELECT 輸出規則,the-sql-language/type-conversion/10.6.-select-shu-chu-gui-ze.md,True,False,1056,0,149,4,no-chinese-prose,
128,1,II. SQL 查詢語言,11. 索引（Index）,11. 索引（Index）,the-sql-language/index/README.md,True,True,76,72,0,0,chinese-review,
129,2,II. SQL 查詢語言,11. 索引（Index）,11.1. 簡介,the-sql-language/index/introduction.md,True,False,1222,739,23,0,chinese-review,
130,2,II. SQL 查詢語言,11. 索引（Index）,11.2. 索引型別,the-sql-language/index/index-types.md,True,False,3120,1105,183,0,chinese-review,
131,2,II. SQL 查詢語言,11. 索引（Index）,11.3. 多欄位索引,the-sql-language/index/multicolumn-indexes.md,True,False,1435,786,36,0,chinese-review,
132,2,II. SQL 查詢語言,11. 索引（Index）,11.4. 索引與 ORDER BY,the-sql-language/index/indexes-and-order-by.md,True,False,1157,559,63,0,chinese-review,
133,2,II. SQL 查詢語言,11. 索引（Index）,11.5. 善用多個索引,the-sql-language/index/combining-multiple-indexes.md,True,False,1165,831,25,0,chinese-review,
134,2,II. SQL 查詢語言,11. 索引（Index）,11.6. 唯一值索引,the-sql-language/index/unique-indexes.md,True,False,314,202,2,0,chinese-review,
135,2,II. SQL 查詢語言,11. 索引（Index）,11.7. 表示式索引,the-sql-language/index/indexes-on-expressions.md,True,False,837,409,9,0,chinese-review,
