chapter,official,url,local,local_title,match
1. 入門指南,1.1. Installation,https://www.postgresql.org/docs/15/tutorial-install.html,tutorial/getting-started/installation.md,1.1. 安裝,title/path
1. 入門指南,1.2. Architectural Fundamentals,https://www.postgresql.org/docs/15/tutorial-arch.html,tutorial/getting-started/architectural-fundamentals.md,1.2. 基礎架構,title/path
1. 入門指南,1.3. Creating a Database,https://www.postgresql.org/docs/15/tutorial-createdb.html,tutorial/getting-started/creating-a-database.md,1.3. 建立一個資料庫,title/path
1. 入門指南,1.4. Accessing a Database,https://www.postgresql.org/docs/15/tutorial-accessdb.html,tutorial/getting-started/accessing-a-database.md,1.4. 存取一個資料庫,title/path
2. SQL 查詢語言,2.1. Introduction,https://www.postgresql.org/docs/15/tutorial-sql-intro.html,tutorial/the-sql-language/introduction.md,2.1. 簡介,title/path
2. SQL 查詢語言,2.2. Concepts,https://www.postgresql.org/docs/15/tutorial-concepts.html,tutorial/the-sql-language/concepts.md,2.2. 概念,title/path
2. SQL 查詢語言,2.3. Creating a New Table,https://www.postgresql.org/docs/15/tutorial-table.html,tutorial/the-sql-language/creating-a-new-table.md,2.3. 創建一個新的資料表,title/path
2. SQL 查詢語言,2.4. Populating a Table With Rows,https://www.postgresql.org/docs/15/tutorial-populate.html,tutorial/the-sql-language/populating-a-table-with-rows.md,2.4. 資料列是資料表的組成單位,title/path
2. SQL 查詢語言,2.5. Querying a Table,https://www.postgresql.org/docs/15/tutorial-select.html,tutorial/the-sql-language/querying-a-table.md,2.5. 資料表的查詢,title/path
2. SQL 查詢語言,2.6. Joins Between Tables,https://www.postgresql.org/docs/15/tutorial-join.html,tutorial/the-sql-language/joins-between-tables.md,2.6. 交叉查詢,title/path
2. SQL 查詢語言,2.7. Aggregate Functions,https://www.postgresql.org/docs/15/tutorial-agg.html,tutorial/the-sql-language/aggregate-functions.md,2.7. 彙總查詢,title/path
2. SQL 查詢語言,2.8. Updates,https://www.postgresql.org/docs/15/tutorial-update.html,tutorial/the-sql-language/updates.md,2.8. 更新資料,title/path
2. SQL 查詢語言,2.9. Deletions,https://www.postgresql.org/docs/15/tutorial-delete.html,tutorial/the-sql-language/deletions.md,2.9. 刪除資料,title/path
3. 先進功能,3.1. Introduction,https://www.postgresql.org/docs/15/tutorial-advanced-intro.html,tutorial/advanced-features/introduction.md,3.1. 簡介,title/path
3. 先進功能,3.2. Views,https://www.postgresql.org/docs/15/tutorial-views.html,tutorial/advanced-features/views.md,3.2. 檢視表（View）,title/path
3. 先進功能,3.3. Foreign Keys,https://www.postgresql.org/docs/15/tutorial-fk.html,tutorial/advanced-features/foreign-keys.md,3.3. 外部索引鍵,title/path
3. 先進功能,3.4. Transactions,https://www.postgresql.org/docs/15/tutorial-transactions.html,tutorial/advanced-features/transactions.md,3.4. 交易安全,title/path
3. 先進功能,3.5. Window Functions,https://www.postgresql.org/docs/15/tutorial-window.html,tutorial/advanced-features/window-functions.md,3.5. 窗函數,title/path
3. 先進功能,3.6. Inheritance,https://www.postgresql.org/docs/15/tutorial-inheritance.html,tutorial/advanced-features/inheritance.md,3.6. 繼承,title/path
3. 先進功能,3.7. Conclusion,https://www.postgresql.org/docs/15/tutorial-conclusion.html,tutorial/advanced-features/conclusion.md,3.7. 結論,title/path
4. SQL 語法,4.1. Lexical Structure,https://www.postgresql.org/docs/15/sql-syntax-lexical.html,the-sql-language/sql-syntax/lexical-structure.md,4.1. 語法結構,title/path
4. SQL 語法,4.2. Value Expressions,https://www.postgresql.org/docs/15/sql-expressions.html,the-sql-language/sql-syntax/value-expressions.md,4.2. 參數表示式,title/path
4. SQL 語法,4.3. Calling Functions,https://www.postgresql.org/docs/15/sql-syntax-calling-funcs.html,the-sql-language/sql-syntax/4.3.-han-shu-hu-jiao.md,4.3. 函數呼叫,number-only-review
5. 定義資料結構,5.1. Table Basics,https://www.postgresql.org/docs/15/ddl-basics.html,the-sql-language/ddl/table-basics.md,5.1. 認識資料表,title/path
5. 定義資料結構,5.2. Default Values,https://www.postgresql.org/docs/15/ddl-default.html,the-sql-language/ddl/default-values.md,5.2. 預設值,title/path
